Tag Name,Status,Total Usage,Lists,Segments,Flows,Age (Days),Created At,Updated At
BC Cross Sell,Active,1,0,0,1,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
BC Subscribe,Active,1,0,0,1,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
BC Welcome,Active,1,0,0,1,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
CLV,Active,1,0,1,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
Cj-referred,Active,1,1,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
FR insights,Active,1,1,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
Lloyd Test,Active,1,0,1,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
events,Active,1,1,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
golden ticket,Active,1,1,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
greatest hits,Active,1,0,1,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
jazz,Active,1,0,1,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
loyalty,Active,1,0,1,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
12-Days of Winning,Unused,0,0,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
Genre,Unused,0,0,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
announcements,Unused,0,0,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
backstock,Unused,0,0,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
best of,Unused,0,0,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
black friday,Unused,0,0,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
campaign,Unused,0,0,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
feb_2023_promo,Unused,0,0,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
hi fives,Unused,0,0,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
july_winback,Unused,0,0,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
